직원 이름,부서,월별 매출액,상품별 판매량,지역별 매출,개인정보_ID,사무실_내선번호
직원_1,개발부,8711,167,경기,454771,7328
직원_2,인사부,4085,181,부산,150014,7113
직원_3,마케팅부,6892,169,경기,632982,2772
직원_4,영업부,4980,199,경기,638708,4300
직원_5,기획부,8008,115,부산,492096,4030
직원_6,개발부,3917,78,서울,584739,3988
직원_7,개발부,7128,111,부산,308147,2593
직원_8,영업부,6481,115,대전,611461,4683
직원_9,기획부,2831,193,광주,465496,3302
직원_10,마케팅부,6928,173,서울,661445,7360
직원_11,인사부,8273,184,서울,786794,3914
직원_12,기획부,3550,141,광주,781207,9221
직원_13,기획부,7670,50,광주,440806,9309
직원_14,인사부,5670,145,경기,666799,3010
직원_15,개발부,8512,117,광주,370965,5858
직원_16,영업부,2389,80,부산,939012,1875
직원_17,영업부,6616,135,서울,571734,4510
직원_18,인사부,5705,181,광주,532474,5513
직원_19,마케팅부,7737,127,대전,912320,5807
직원_20,인사부,5372,79,서울,689534,4925
직원_21,영업부,3918,122,경기,546242,2657
직원_22,개발부,7134,79,경기,149765,9867
직원_23,마케팅부,4211,166,대전,840691,5870
직원_24,기획부,7266,150,부산,282393,3547
직원_25,마케팅부,3122,93,경기,708751,5772
직원_26,인사부,7277,82,부산,921836,5327
직원_27,마케팅부,7126,118,대전,947327,7441
직원_28,개발부,5361,106,부산,336861,7547
직원_29,인사부,5496,93,부산,250171,3597
직원_30,영업부,5745,163,광주,760035,3880
직원_31,마케팅부,7253,69,광주,262810,6814
직원_32,개발부,7089,118,서울,108197,7998
직원_33,개발부,4402,173,경기,889629,5197
직원_34,영업부,3169,162,경기,267352,8711
직원_35,기획부,5420,150,서울,680692,5944
직원_36,마케팅부,2981,130,대전,166956,1306
직원_37,개발부,5984,122,대전,250866,2640
직원_38,마케팅부,7910,115,서울,377933,1674
직원_39,영업부,7583,116,광주,473640,2314
직원_40,마케팅부,2857,85,경기,438317,9063
직원_41,마케팅부,3677,160,광주,198001,5326
직원_42,마케팅부,5248,55,경기,543547,3833
직원_43,기획부,4205,113,대전,695865,4855
직원_44,개발부,4018,68,서울,796976,5200
직원_45,마케팅부,7740,118,서울,144185,1434
직원_46,인사부,5039,91,대전,978010,6724
직원_47,기획부,2047,69,경기,210151,1051
직원_48,인사부,7988,115,서울,103217,8824
직원_49,개발부,2891,99,광주,938109,4735
직원_50,개발부,8452,77,서울,413175,3390
직원_51,기획부,7637,114,대전,848469,1518
직원_52,인사부,7035,178,부산,449886,2046
직원_53,영업부,7375,75,부산,655545,6041
직원_54,영업부,4001,59,부산,796476,9396
직원_55,기획부,6384,153,서울,413081,2198
직원_56,마케팅부,6840,190,서울,698692,4047
직원_57,인사부,2756,116,경기,476314,7237
직원_58,마케팅부,7021,105,광주,363674,7810
직원_59,마케팅부,3439,64,광주,920193,7337
직원_60,마케팅부,5850,88,광주,870251,8669
직원_61,기획부,4380,191,광주,544429,6727
직원_62,마케팅부,2046,116,대전,169566,4829
직원_63,기획부,5400,127,대전,159144,2960
직원_64,영업부,3703,149,대전,388224,2461
직원_65,개발부,5068,188,부산,763389,2879
직원_66,기획부,8835,185,서울,374110,2070
직원_67,마케팅부,2365,110,서울,704154,2827
직원_68,인사부,7704,61,경기,102558,6409
직원_69,개발부,4055,104,경기,821595,8107
직원_70,마케팅부,3131,159,광주,932659,8412
직원_71,영업부,7634,93,서울,463149,4516
직원_72,영업부,6133,56,서울,985329,7038
직원_73,개발부,8791,92,대전,169276,1961
직원_74,개발부,6480,100,경기,172271,6020
직원_75,인사부,2072,114,대전,779923,4561
직원_76,영업부,8921,172,경기,648930,2722
직원_77,개발부,8552,183,서울,887986,5251
직원_78,마케팅부,4686,173,대전,840342,7861
직원_79,마케팅부,5146,77,부산,936969,6796
직원_80,개발부,7270,108,서울,192369,4689
직원_81,기획부,3071,77,부산,838369,2020
직원_82,개발부,8479,89,부산,919065,7425
직원_83,마케팅부,2666,169,광주,924372,7654
직원_84,기획부,8694,188,경기,785705,9938
직원_85,마케팅부,2450,127,광주,231021,9679
직원_86,마케팅부,5608,53,광주,666195,8430
직원_87,개발부,2138,65,대전,839029,5997
